month,city_id,total_target_trips
01-03-2024,MP01,7000
01-05-2024,KA01,2500
01-04-2024,UP01,11000
01-02-2024,GJ02,6000
01-05-2024,KL01,9000
01-02-2024,UP01,13000
01-01-2024,AP01,4500
01-01-2024,CH01,7000
01-02-2024,KL01,7500
01-03-2024,UP01,13000
01-02-2024,TN01,3500
01-06-2024,KL01,9000
01-04-2024,KL01,9000
01-04-2024,KA01,2500
01-06-2024,GJ01,10000
01-01-2024,RJ01,13000
01-05-2024,CH01,6000
01-03-2024,KL01,7500
01-04-2024,MP01,7500
01-05-2024,RJ01,9500
01-05-2024,GJ02,6500
01-05-2024,GJ01,10000
01-02-2024,RJ01,13000
01-02-2024,AP01,4500
01-03-2024,CH01,7000
01-05-2024,AP01,5000
01-03-2024,TN01,3500
01-01-2024,GJ02,6000
01-01-2024,KL01,7500
01-06-2024,UP01,11000
01-06-2024,RJ01,9500
01-03-2024,AP01,4500
01-02-2024,MP01,7000
01-04-2024,RJ01,9500
01-01-2024,GJ01,9000
01-03-2024,KA01,2000
01-01-2024,TN01,3500
01-06-2024,GJ02,6500
01-02-2024,CH01,7000
01-02-2024,KA01,2000
01-06-2024,KA01,2500
01-03-2024,RJ01,13000
01-03-2024,GJ02,6000
01-04-2024,CH01,6000
01-06-2024,TN01,3500
01-04-2024,GJ01,10000
01-04-2024,AP01,5000
01-01-2024,KA01,2000
01-05-2024,TN01,3500
01-02-2024,GJ01,9000
01-05-2024,UP01,11000
01-06-2024,AP01,5000
01-05-2024,MP01,7500
01-03-2024,GJ01,9000
01-06-2024,MP01,7500
01-04-2024,TN01,3500
01-01-2024,UP01,13000
01-06-2024,CH01,6000
01-04-2024,GJ02,6500
01-01-2024,MP01,7000
